dataset,brid,pipeid
utilb,"152,632",{37C08C46-5A7D-478A-9C3F-A3167B848577}
utilb,"152,633",{AB1C1E6C-52A1-4688-B1DA-C81BB62711F2}
utilb,"152,634",{AD9954D3-6D9C-45D6-B65B-1CF17D145E32}
utilb,"152,636",{9F1F13B0-7683-4334-BDE4-17CB2714A7A6}
utilb,"152,637",{9ABEEDA3-A07B-47E7-847D-7FCD92AA23C9}
utilb,"152,638",{1B0C893E-6D4D-40EB-9ED9-65C60F860281}
utilb,"152,639",{EFA8F2B6-55AC-456E-827E-C965904284E6}
utilb,"15,264",{D0F7673F-A086-448D-A175-130FB7DD46DE}
utilb,"152,640",{2A9AA329-8F5B-4AC3-A07F-CA13952A3291}
utilb,"152,641",{A0BE6043-5092-46FB-BABE-E5401E772838}
utilb,"152,642",{BD6C29AA-A651-4F35-9289-0C904943D72F}
utilb,"15,265",{FF159663-B239-4EB4-AFA5-76AC9846B828}
utilb,"152,654",{55106777-BE3B-406D-9EBA-F5C4845A0737}
utilb,"152,656",{F89A7210-BCB2-42A7-89E6-46BD54BD388B}
utilb,"152,658",{368CDCD4-7AD8-4564-A588-80CA9D65B58F}
utilb,"15,266",{29CE2C1F-E1CE-4F13-882B-BFF03D08E349}
utilb,"152,660",{AD9954D3-6D9C-45D6-B65B-1CF17D145E32}
utilb,"152,667",{705E690F-2DB5-4B41-AAB1-6EFF0B759F93}
utilb,"15,267",{A0A12161-307B-4955-A556-BD5FFB0A6BFF}
utilb,"152,672",{99E334CF-2D00-4A7E-835F-748208C64B1B}
utilb,"15,268",{41628EE1-CC47-4410-9933-C55397A369C0}
utilb,"152,681",{1675AE14-6173-4A64-8EEC-D5F9544D97C4}
utilb,"152,681",{39E5F924-A988-4C5F-9C33-D5AE722A21A2}
utilb,"152,684",{33B9245C-5176-4250-94D3-5330107A353A}
utilb,"15,269",{9C80C2A6-7731-4A61-9EC5-9904BD754FBE}
utilb,"152,690",
utilb,"152,691",{A06959FF-023F-47C9-8E3F-E6E32B5DECCE}
utilb,"152,692",{155E35E8-96B2-498C-9091-31892861E492}
utilb,"152,694",{D02A2D39-7959-4BF1-8F38-7137288C09AB}
utilb,"1,527",{A6DC1BF4-6CD8-43F7-AEBE-8F96FBF44E6E}
utilb,"15,270",{90907BC6-7E79-4109-95A7-33944B4AAFCB}
